generacja 0, waga 983, wartosc 1507, ocena 2277.5:
generacja 1, waga 917, wartosc 1523, ocena 2367.5:
generacja 2, waga 983, wartosc 1573, ocena 2376.5:
generacja 3, waga 810, wartosc 1390, ocena 2275:
generacja 4, waga 905, wartosc 1454, ocena 2276:
generacja 5, waga 947, wartosc 1509, ocena 2316.5:
generacja 6, waga 999, wartosc 1606, ocena 2410:
generacja 7, waga 869, wartosc 1577, ocena 2496.5:
generacja 8, waga 930, wartosc 1859, ocena 2858.5:
generacja 9, waga 923, wartosc 1710, ocena 2642:
generacja 10, waga 984, wartosc 1930, ocena 2911:
generacja 11, waga 873, wartosc 1835, ocena 2879.5:
generacja 12, waga 909, wartosc 2000, ocena 3091:
generacja 13, waga 981, wartosc 2119, ocena 3197.5:
generacja 14, waga 796, wartosc 1843, ocena 2968.5:
generacja 15, waga 850, wartosc 2005, ocena 3157.5:
generacja 16, waga 954, wartosc 2161, ocena 3287.5:
generacja 17, waga 960, wartosc 2261, ocena 3431.5:
generacja 18, waga 887, wartosc 2127, ocena 3303.5:
generacja 19, waga 910, wartosc 2329, ocena 3583.5:
generacja 20, waga 971, wartosc 2337, ocena 3534.5:
generacja 21, waga 913, wartosc 2495, ocena 3829.5:
generacja 22, waga 939, wartosc 2530, ocena 3856:
generacja 23, waga 885, wartosc 2416, ocena 3739:
generacja 24, waga 989, wartosc 2548, ocena 3833:
generacja 25, waga 978, wartosc 2645, ocena 3989.5:
generacja 26, waga 890, wartosc 2639, ocena 4068.5:
generacja 27, waga 967, wartosc 2533, ocena 3832.5:
generacja 28, waga 807, wartosc 2748, ocena 4315:
generacja 29, waga 806, wartosc 2788, ocena 4376:
generacja 30, waga 947, wartosc 2780, ocena 4223:
generacja 31, waga 925, wartosc 3000, ocena 4575:
generacja 32, waga 945, wartosc 2888, ocena 4387:
generacja 33, waga 957, wartosc 3022, ocena 4576:
generacja 34, waga 963, wartosc 2920, ocena 4417:
generacja 35, waga 717, wartosc 2813, ocena 4502.5:
generacja 36, waga 874, wartosc 3303, ocena 5080.5:
